Title,Type,Genres,Release Year,IMDB Average Rating,Available Countries
Ariel,movie,"Comedy, Crime, Romance",1988,7.4,JP
Shadows in Paradise,movie,"Comedy, Drama, Music",1986,7.5,JP
Forrest Gump,movie,"Drama, Romance",1994,8.8,JP
The Fifth Element,movie,"Action, Adventure, Sci-Fi",1997,7.6,JP
My Life Without Me,movie,"Drama, Romance",2003,7.4,JP
Unforgiven,movie,"Drama, Western",1992,8.2,JP
12 Monkeys,movie,"Mystery, Sci-Fi, Thriller",1995,8.0,JP
War of the Worlds,movie,"Action, Adventure, Sci-Fi",2005,6.5,JP
Mars Attacks!,movie,"Comedy, Sci-Fi",1996,6.4,JP
Memento,movie,"Mystery, Thriller",2000,8.4,JP
Blade Runner,movie,"Action, Drama, Sci-Fi",1982,8.1,JP
Raiders of the Lost Ark,movie,"Action, Adventure",1981,8.4,JP
Indiana Jones and the Temple of Doom,movie,"Action, Adventure",1984,7.5,JP
Indiana Jones and the Last Crusade,movie,"Action, Adventure",1989,8.2,JP
Armageddon,movie,"Action, Adventure, Sci-Fi",1998,6.7,JP
All About My Mother,movie,"Comedy, Drama, Romance",1999,7.8,JP
Pretty Woman,movie,"Comedy, Romance",1990,7.1,JP
Match Point,movie,"Drama, Romance, Thriller",2005,7.6,JP
Charlie and the Chocolate Factory,movie,"Adventure, Comedy, Family",2005,6.7,JP
The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",2001,8.9,JP
The Lord of the Rings: The Two Towers,movie,"Adventure, Drama, Fantasy",2002,8.8,JP
The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",2003,9.0,JP
Donnie Darko,movie,"Drama, Mystery, Sci-Fi",2001,8.0,US
Wings of Desire,movie,"Drama, Fantasy, Romance",1987,7.9,JP
Akira,movie,"Animation, Drama, Fantasy",1988,8.0,JP
Lost in Translation,movie,"Comedy, Drama",2003,7.7,JP
The Dark Knight,movie,"Action, Crime, Drama",2008,9.0,JP
Ocean's Twelve,movie,"Crime, Thriller",2004,6.5,JP
Breakfast at Tiffany's,movie,"Comedy, Drama, Romance",1961,7.6,JP
Back to the Future Part II,movie,"Adventure, Comedy, Sci-Fi",1989,7.8,JP
K-PAX,movie,"Drama, Mystery, Sci-Fi",2001,7.4,JP
Saw,movie,"Horror, Mystery, Thriller",2004,7.6,JP
Minority Report,movie,"Action, Crime, Mystery",2002,7.6,JP
Sin City,movie,"Crime, Thriller",2005,8.0,JP
Sin City: A Dame to Kill For,movie,"Action, Crime, Thriller",2014,6.5,JP
Amélie,movie,"Comedy, Romance",2001,8.3,JP
Back to the Future Part III,movie,"Adventure, Comedy, Sci-Fi",1990,7.4,JP
The Wages of Fear,movie,"Adventure, Drama, Thriller",1953,8.1,JP
Indiana Jones and the Kingdom of the Crystal Skull,movie,"Action, Adventure",2008,6.2,JP
Volver,movie,"Comedy, Drama",2006,7.6,JP
The Godfather,movie,"Crime, Drama",1972,9.2,JP
The Godfather Part II,movie,"Crime, Drama",1974,9.0,JP
Natural Born Killers,movie,"Crime, Romance",1994,7.2,JP
The Godfather Part III,movie,"Crime, Drama",1990,7.6,JP
Ghost,movie,"Drama, Fantasy, Romance",1990,7.1,JP
The King of Comedy,movie,"Comedy, Crime, Drama",1982,7.8,US
Batman,movie,"Action, Adventure",1989,7.5,JP
Batman Begins,movie,"Action, Drama",2005,8.2,JP
The Shawshank Redemption,movie,Drama,1994,9.3,JP
Ocean's Thirteen,movie,"Crime, Thriller",2007,6.9,JP
Once Upon a Time in America,movie,"Crime, Drama",1984,8.3,JP
Mystic River,movie,"Crime, Drama, Mystery",2003,7.9,JP
Jurassic Park,movie,"Action, Adventure, Sci-Fi",1993,8.2,JP
Jurassic Park III,movie,"Action, Adventure, Sci-Fi",2001,5.9,JP
Eyes Wide Shut,movie,"Drama, Mystery, Thriller",1999,7.5,JP
The Devil Wears Prada,movie,"Comedy, Drama",2006,6.9,JP
Batman Returns,movie,"Action, Crime, Fantasy",1992,7.1,JP
La Strada,movie,Drama,1954,8.0,JP
Batman Forever,movie,"Action, Adventure",1995,5.4,JP
Batman & Robin,movie,"Action, Sci-Fi",1997,3.8,JP
8½,movie,Drama,1963,8.0,JP
A Beautiful Mind,movie,"Biography, Drama, Mystery",2001,8.2,JP
Good Will Hunting,movie,"Drama, Romance",1997,8.3,JP
The Seventh Seal,movie,"Drama, Fantasy",1957,8.1,JP
Reservoir Dogs,movie,"Crime, Thriller",1992,8.3,JP
Poseidon,movie,"Action, Adventure, Thriller",2006,5.7,JP
Monster,movie,"Biography, Crime, Drama",2003,7.3,JP
Fight Club,movie,Drama,1999,8.8,JP
Constantine,movie,"Action, Fantasy, Horror",2005,7.0,JP
Die Hard,movie,"Action, Thriller",1988,8.2,US
The Mummy,movie,"Action, Adventure, Fantasy",1999,7.1,US
The Ring,movie,"Horror, Mystery",2002,7.1,JP
2 Fast 2 Furious,movie,"Action, Crime, Thriller",2003,5.9,JP
The Terminal,movie,"Comedy, Drama, Romance",2004,7.4,JP
E.T. the Extra-Terrestrial,movie,"Adventure, Family, Sci-Fi",1982,7.9,JP
Independence Day,movie,"Action, Adventure, Sci-Fi",1996,7.0,JP
The Matrix,movie,"Action, Sci-Fi",1999,8.7,JP
The Matrix Reloaded,movie,"Action, Sci-Fi",2003,7.2,JP
The Matrix Revolutions,movie,"Action, Sci-Fi",2003,6.7,JP
Wild Strawberries,movie,"Drama, Romance",1957,8.1,JP
The Last Samurai,movie,"Action, Drama",2003,7.8,JP
The Bodyguard,movie,"Drama, Music, Romance",1992,6.4,JP
Trainspotting,movie,Drama,1996,8.1,JP
The Usual Suspects,movie,"Crime, Drama, Mystery",1995,8.5,JP
Life Is Beautiful,movie,"Comedy, Drama, Romance",1997,8.6,JP
Catch Me If You Can,movie,"Biography, Crime, Drama",2002,8.1,JP
A.I. Artificial Intelligence,movie,"Adventure, Drama, Sci-Fi",2001,7.2,JP
"Paris, Texas",movie,Drama,1984,8.1,JP
La Jetée,movie,"Drama, Romance, Sci-Fi",1962,8.2,JP
Saw IV,movie,"Horror, Mystery, Thriller",2007,5.9,JP
Twister,movie,"Action, Adventure, Thriller",1996,6.5,JP
Oldboy,movie,"Action, Drama, Mystery",2003,8.3,JP
Harry Potter and the Sorcerer's Stone,movie,"Adventure, Family, Fantasy",2001,7.7,JP
Harry Potter and the Chamber of Secrets,movie,"Adventure, Family, Fantasy",2002,7.4,JP
Harry Potter and the Prisoner of Azkaban,movie,"Adventure, Family, Fantasy",2004,7.9,JP
Harry Potter and the Goblet of Fire,movie,"Adventure, Family, Fantasy",2005,7.7,JP
Harry Potter and the Order of the Phoenix,movie,"Action, Adventure, Family",2007,7.5,JP
Pearl Harbor,movie,"Action, Drama, Romance",2001,6.2,US
Pulp Fiction,movie,"Crime, Drama",1994,8.9,JP
The Bridges of Madison County,movie,"Drama, Romance",1995,7.6,JP
The Piano,movie,"Drama, Music, Romance",1993,7.5,JP
The Sixth Sense,movie,"Drama, Mystery, Thriller",1999,8.2,JP
The Last Emperor,movie,"Biography, Drama, History",1987,7.7,JP
V for Vendetta,movie,"Action, Drama, Sci-Fi",2005,8.1,JP
Faces,movie,Drama,1968,7.4,JP
From Dusk Till Dawn,movie,"Action, Crime, Horror",1996,7.2,JP
Harry Potter and the Half-Blood Prince,movie,"Action, Adventure, Family",2009,7.6,JP
Mr. & Mrs. Smith,movie,"Action, Comedy, Crime",2005,6.5,JP
Roman Holiday,movie,"Comedy, Drama, Romance",1953,8.0,JP
Se7en,movie,"Crime, Drama, Mystery",1995,8.6,JP
Austin Powers: The Spy Who Shagged Me,movie,"Action, Adventure, Comedy",1999,6.7,JP
JFK,movie,"Drama, History, Thriller",1991,8.0,JP
Moulin Rouge!,movie,"Drama, Musical, Romance",2001,7.6,US
Dune,movie,"Action, Adventure, Sci-Fi",1984,6.3,JP
Enemy at the Gates,movie,"Action, Drama, War",2001,7.5,JP
The Mask,movie,"Comedy, Crime, Fantasy",1994,7.0,JP
Saving Private Ryan,movie,"Drama, War",1998,8.6,JP
The Color Purple,movie,Drama,1985,7.7,JP
Crash,movie,Drama,1996,6.4,JP
Gremlins,movie,"Comedy, Fantasy, Horror",1984,7.3,JP
Gremlins 2: The New Batch,movie,"Comedy, Fantasy, Horror",1990,6.4,JP
Lethal Weapon,movie,"Action, Crime, Thriller",1987,7.6,JP
Lethal Weapon 2,movie,"Action, Crime, Thriller",1989,7.3,JP
Lethal Weapon 3,movie,"Action, Crime, Thriller",1992,6.7,JP
Lethal Weapon 4,movie,"Action, Crime, Thriller",1998,6.6,JP
Heat,movie,"Action, Crime, Drama",1995,8.3,"JP, US"
Mission: Impossible,movie,"Action, Adventure, Thriller",1996,7.2,JP
Mission: Impossible III,movie,"Action, Adventure, Thriller",2006,6.9,JP
Dirty Harry,movie,"Action, Crime, Thriller",1971,7.7,JP
The Queen,movie,"Biography, Drama",2006,7.3,JP
The Talented Mr. Ripley,movie,"Crime, Drama, Thriller",1999,7.4,JP
Hannibal Rising,movie,"Adventure, Crime, Drama",2007,6.1,JP
Ghost Rider,movie,"Action, Fantasy, Thriller",2007,5.3,US
Letters from Iwo Jima,movie,"Action, Adventure, Drama",2006,7.8,JP
The Host,movie,"Drama, Horror, Sci-Fi",2006,7.1,JP
Street Kings,movie,"Action, Crime, Thriller",2008,6.8,JP
300,movie,"Action, Drama",2006,7.6,JP
The Dreamers,movie,"Drama, Romance",2003,7.1,JP
American Psycho,movie,"Crime, Drama, Horror",2000,7.6,US
Sex and Lucía,movie,"Drama, Romance",2001,7.0,JP
Lights in the Dusk,movie,"Crime, Drama",2006,6.8,JP
Y tu mamá también,movie,Drama,2001,7.7,US
Nostalghia,movie,Drama,1983,7.9,JP
La Vie En Rose,movie,"Biography, Drama, Music",2007,7.5,JP
The Departed,movie,"Crime, Drama, Thriller",2006,8.5,JP
The Warrior,movie,"Action, Drama, History",2001,7.2,JP
The Virgin Suicides,movie,"Drama, Romance",1999,7.2,JP
Immortality,movie,"Crime, Mystery, Romance",1998,6.2,JP
Miss Congeniality,movie,"Action, Comedy, Crime",2000,6.3,JP
Spy Game,movie,"Action, Crime, Thriller",2001,7.1,JP
Collateral,movie,"Action, Crime, Drama",2004,7.5,JP
Office Space,movie,Comedy,1999,7.6,US
Live Free or Die Hard,movie,"Action, Thriller",2007,7.1,US
Die Hard with a Vengeance,movie,"Action, Adventure, Thriller",1995,7.6,US
Die Hard 2,movie,"Action, Thriller",1990,7.1,US
Chicago,movie,"Comedy, Crime, Musical",2002,7.2,JP
What's Eating Gilbert Grape,movie,Drama,1993,7.7,JP
Bring It On,movie,"Comedy, Romance, Sport",2000,6.1,JP
The Island,movie,"Action, Sci-Fi, Thriller",2005,6.8,JP
Speed 2: Cruise Control,movie,"Action, Adventure, Crime",1997,4.0,JP
Crash,movie,"Crime, Drama, Thriller",2004,7.7,JP
A Time to Kill,movie,"Crime, Drama, Thriller",1996,7.5,JP
Con Air,movie,"Action, Crime, Thriller",1997,6.9,US
Copycat,movie,"Drama, Mystery, Thriller",1995,6.6,JP
The Cider House Rules,movie,"Drama, Romance",1999,7.4,JP
The Mummy Returns,movie,"Action, Adventure, Fantasy",2001,6.4,US
Jesus Camp,movie,Documentary,2006,7.4,US
The Piano Teacher,movie,"Drama, Music",2001,7.5,JP
Transformers,movie,"Action, Adventure, Sci-Fi",2007,7.1,JP
Sunflower,movie,"Drama, War",1970,7.3,JP
The Others,movie,"Horror, Mystery, Thriller",2001,7.6,JP
The Bow,movie,"Drama, Romance",2005,7.1,JP
Bandidas,movie,"Action, Comedy, Crime",2006,5.7,US
Death Proof,movie,"Drama, Thriller",2007,7.0,JP
Planet Terror,movie,"Action, Comedy, Horror",2007,7.0,JP
The Mourning Forest,movie,Drama,2007,6.7,JP
Secret Sunshine,movie,Drama,2007,7.5,JP
The Wedding Planner,movie,"Comedy, Romance",2001,5.3,US
Mr. Deeds,movie,"Comedy, Romance",2002,5.8,US
Hostage,movie,"Action, Crime, Drama",2005,6.5,JP
Training Day,movie,"Crime, Drama, Thriller",2001,7.8,JP
The Lake House,movie,"Drama, Fantasy, Romance",2006,6.8,JP
"I, Robot",movie,"Action, Mystery, Sci-Fi",2004,7.1,US
The Getaway,movie,"Action, Adventure, Crime",1994,5.8,US
Gappa the Triphibian Monster,movie,"Action, Adventure, Comedy",1967,4.4,JP
L.A. Confidential,movie,"Crime, Drama, Mystery",1997,8.2,JP
The Perfect Storm,movie,"Action, Adventure, Drama",2000,6.5,JP
Cop Land,movie,"Crime, Drama, Thriller",1997,7.0,JP
Beowulf,movie,"Action, Adventure, Animation",2007,6.3,JP
Executive Decision,movie,"Action, Adventure, Thriller",1996,6.5,JP
Taxi,movie,"Action, Comedy, Crime",1998,7.0,JP
Taxi 4,movie,"Action, Comedy, Crime",2007,5.6,JP
10 Items or Less,movie,"Comedy, Drama",2006,6.5,JP
The Young Girls of Rochefort,movie,"Comedy, Drama, Musical",1967,7.7,JP
Joint Security Area,movie,"Action, Drama, Thriller",2000,7.7,JP
The Bourne Identity,movie,"Action, Mystery, Thriller",2002,7.8,JP
The Bourne Supremacy,movie,"Action, Thriller",2004,7.7,JP
The Bourne Ultimatum,movie,"Action, Mystery, Thriller",2007,8.0,JP
The Specialist,movie,"Action, Drama, Thriller",1994,5.6,JP
The Blair Witch Project,movie,"Horror, Mystery",1999,6.5,JP
Sleepy Hollow,movie,"Fantasy, Horror, Mystery",1999,7.3,JP
Ringu,movie,"Horror, Mystery",1998,7.2,JP
Addams Family Values,movie,"Comedy, Fantasy",1993,6.8,JP
The Addams Family,movie,"Comedy, Fantasy",1991,6.9,JP
Roar,movie,"Adventure, Comedy, Thriller",1981,6.1,JP
One on Top of the Other,movie,"Horror, Mystery, Thriller",1969,6.6,JP
Doctor Dolittle,movie,"Comedy, Family, Fantasy",1998,5.4,US
The Searchers,movie,"Adventure, Drama, Western",1956,7.8,JP
Battle Royale,movie,"Adventure, Drama, Thriller",2000,7.5,JP
Battle Royale II,movie,"Action, Adventure, Drama",2003,4.6,JP
"Good Night, and Good Luck.",movie,"Biography, Drama, History",2005,7.4,JP
Under Siege 2: Dark Territory,movie,"Action, Adventure, Thriller",1995,5.6,JP
Black Sheep,movie,"Comedy, Horror, Sci-Fi",2006,5.8,JP
Flags of Our Fathers,movie,"Action, Adventure, Drama",2006,7.1,JP
Beetlejuice,movie,"Comedy, Fantasy",1988,7.5,JP
That Man from Rio,movie,"Action, Adventure, Comedy",1964,7.0,JP
Women on the Verge of a Nervous Breakdown,movie,"Comedy, Drama",1988,7.5,JP
Scream,movie,"Horror, Mystery",1996,7.4,JP
The Kingdom,movie,"Action, Drama, Thriller",2007,7.0,JP
Bordertown,movie,"Crime, Mystery, Thriller",2007,6.0,JP
The Devil's Own,movie,"Action, Crime, Drama",1997,6.2,US
"Jamón, Jamón",movie,"Comedy, Drama, Romance",1992,6.4,JP
The Machinist,movie,"Drama, Thriller",2004,7.6,JP
The Story of O,movie,Drama,1975,5.3,JP
The Sensuous Nurse,movie,Comedy,1975,4.8,JP
Gone Baby Gone,movie,"Crime, Drama, Mystery",2007,7.6,JP
Obsession,movie,"Drama, Mystery, Thriller",1976,6.7,JP
The Jackal,movie,"Action, Crime, Drama",1997,6.4,JP
A Boy and His Dog,movie,"Comedy, Drama, Sci-Fi",1975,6.4,JP
The Curious Case of Benjamin Button,movie,"Drama, Fantasy, Romance",2008,7.8,JP
Teorema,movie,"Drama, Mystery",1968,7.0,JP
Lisa and the Devil,movie,"Horror, Mystery",1973,6.2,JP
Baron Blood,movie,Horror,1972,5.9,JP
A Bay of Blood,movie,"Horror, Mystery, Thriller",1971,6.5,JP
Le Samouraï,movie,"Crime, Drama, Thriller",1967,8.0,JP
Donkey Skin,movie,"Comedy, Fantasy, Musical",1970,7.0,JP
Sky High,movie,"Action, Adventure, Drama",2002,6.1,JP
Papillon,movie,"Biography, Crime, Drama",1973,8.0,JP
The Umbrellas of Cherbourg,movie,"Drama, Musical, Romance",1964,7.8,JP
The Family Man,movie,"Comedy, Drama, Fantasy",2000,6.8,JP
I Am Legend,movie,"Drama, Horror, Sci-Fi",2007,7.2,JP
Dan in Real Life,movie,"Comedy, Drama, Romance",2007,6.8,US
The Man Without a Past,movie,"Comedy, Drama, Romance",2002,7.6,JP
Equilibrium,movie,"Action, Drama, Sci-Fi",2002,7.3,JP
Running Scared,movie,"Action, Crime, Drama",2006,7.3,JP
xXx,movie,"Action, Adventure, Drama",2002,5.8,US
Speed Racer,movie,"Action, Adventure, Comedy",2008,6.1,JP
Shooter,movie,"Action, Drama, Thriller",2007,7.1,JP
Idiocracy,movie,"Adventure, Comedy, Sci-Fi",2006,6.5,US
Ghost Train,movie,Horror,2006,4.9,JP
Fun with Dick and Jane,movie,"Comedy, Crime",2005,6.2,US
Rambo,movie,"Action, Thriller",2008,7.0,JP
"10,000 BC",movie,"Action, Adventure, Drama",2008,5.1,JP
Before the Devil Knows You're Dead,movie,"Crime, Drama, Thriller",2007,7.3,US
The Match Factory Girl,movie,"Comedy, Crime, Drama",1990,7.5,JP
Band of Outsiders,movie,"Comedy, Crime, Drama",1964,7.6,JP
Napoleon Dynamite,movie,Comedy,2004,7.0,US
Æon Flux,movie,"Action, Adventure, Sci-Fi",2005,5.4,JP
Drifting Clouds,movie,"Comedy, Drama",1996,7.6,JP
Kika,movie,Comedy,1993,6.5,JP
Step Up 2: The Streets,movie,"Drama, Music, Romance",2008,6.2,US
REC,movie,"Horror, Mystery, Thriller",2007,7.4,JP
Cast Away,movie,"Adventure, Drama, Romance",2000,7.8,"JP, US"
Transformers: Revenge of the Fallen,movie,"Action, Adventure, Sci-Fi",2009,6.0,JP
The Conformist,movie,Drama,1970,7.9,JP
Swallowtail Butterfly,movie,"Crime, Drama",1996,7.5,JP
Deep Impact,movie,"Action, Drama, Sci-Fi",1998,6.3,JP
K-19: The Widowmaker,movie,"Drama, History, Thriller",2002,6.7,"JP, US"
Cannibals in the Streets,movie,"Drama, Fantasy, Horror",1980,5.5,JP
The Final Countdown,movie,"Action, Adventure, Sci-Fi",1980,6.7,JP
Hellraiser: Bloodline,movie,"Horror, Sci-Fi",1996,5.1,JP
Conspiracy Theory,movie,"Action, Drama, Mystery",1997,6.7,JP
Under Siege,movie,"Action, Thriller",1992,6.5,JP
Red Planet,movie,"Action, Sci-Fi, Thriller",2000,5.7,JP
Che: Part Two,movie,"Biography, Drama, History",2008,6.8,JP
Che: Part One,movie,"Biography, Drama, History",2008,7.1,JP
Deep Blue Sea,movie,"Action, Adventure, Sci-Fi",1999,5.9,JP
Jeepers Creepers,movie,"Horror, Mystery",2001,6.2,JP
Twilight,movie,"Drama, Fantasy, Romance",2008,5.3,US
Hellraiser,movie,"Horror, Thriller",1987,6.9,JP
The Great Silence,movie,"Drama, Western",1968,7.7,JP
Police Story,movie,"Action, Comedy, Crime",1985,7.5,JP
Hellbound: Hellraiser II,movie,"Horror, Thriller",1988,6.4,JP
