title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Ariel,movie,"Comedy, Crime, Romance",1988,tt0094675,7.4,8874,JP
"Shadows in Paradise",movie,"Comedy, Drama, Music",1986,tt0092149,7.5,7657,JP
"Forrest Gump",movie,"Drama, Romance",1994,tt0109830,8.8,2338524,JP
"The Fifth Element",movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,520103,JP
"My Life Without Me",movie,"Drama, Romance",2003,tt0314412,7.4,26108,JP
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,447394,JP
"12 Monkeys",movie,"Mystery, Sci-Fi, Thriller",1995,tt0114746,8,658685,JP
"War of the Worlds",movie,"Action, Adventure, Sci-Fi",2005,tt0407304,6.5,485299,JP
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,249808,JP
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1358880,JP
"Blade Runner",movie,"Action, Drama, Sci-Fi",1982,tt0083658,8.1,843703,JP
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1061949,JP
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,546608,JP
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,829323,JP
Armageddon,movie,"Action, Adventure, Sci-Fi",1998,tt0120591,6.7,461016,JP
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,105429,JP
"Pretty Woman",movie,"Comedy, Romance",1990,tt0100405,7.1,378513,JP
"Match Point",movie,"Drama, Romance, Thriller",2005,tt0416320,7.6,231981,JP
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,544514,JP
"The Lord of the Rings: The Fellowship of the Ring",movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2074817,JP
"The Lord of the Rings: The Two Towers",movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1844437,JP
"The Lord of the Rings: The Return of the King",movie,"Adventure, Drama, Fantasy",2003,tt0167260,9,2045332,JP
"Donnie Darko",movie,"Drama, Mystery, Sci-Fi",2001,tt0246578,8,871408,US
"Wings of Desire",movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,79791,JP
Akira,movie,"Animation, Drama, Fantasy",1988,tt0094625,8,212287,JP
"Lost in Translation",movie,"Comedy, Drama",2003,tt0335266,7.7,505038,JP
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,2968796,JP
"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,422486,JP
"Breakfast at Tiffany's",movie,"Comedy, Drama, Romance",1961,tt0054698,7.6,196589,JP
"Back to the Future Part II",movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,589532,JP
K-PAX,movie,"Drama, Mystery, Sci-Fi",2001,tt0272152,7.4,195909,JP
Saw,movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,483107,JP
