Title,Type,Genres,Release Year,IMDB Average Rating,Available Countries
Four Rooms,movie,Comedy,1995,6.7,DE
Forrest Gump,movie,"Drama, Romance",1994,8.8,"AU, CA, US"
American Beauty,movie,Drama,1999,8.3,"AT, CH, DE, FR, GB, IE, IT"
Citizen Kane,movie,"Drama, Mystery",1941,8.3,"DE, GB"
Metropolis,movie,"Drama, Sci-Fi",1927,8.3,GB
Kill Bill: Vol. 1,movie,"Action, Crime, Thriller",2003,8.2,"BR, CL, CO, MX"
Apocalypse Now,movie,"Drama, Mystery, War",1979,8.4,DE
Unforgiven,movie,"Drama, Western",1992,8.2,US
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004,8.3,AU
Amores Perros,movie,"Drama, Thriller",2000,8.0,"IN, US"
12 Monkeys,movie,"Mystery, Sci-Fi, Thriller",1995,8.0,AU
Talk to Her,movie,"Drama, Mystery, Romance",2002,7.9,DE
Million Dollar Baby,movie,"Drama, Sport",2004,8.1,DE
Billy Elliot,movie,"Drama, Music",2000,7.7,AU
War of the Worlds,movie,"Action, Adventure, Sci-Fi",2005,6.5,"CA, US"
Memento,movie,"Mystery, Thriller",2000,8.4,"BR, CL, CO, MX"
Miami Vice,movie,"Action, Crime, Drama",2006,6.1,AU
Open Water,movie,"Adventure, Drama, Horror",2003,5.8,IN
Raiders of the Lost Ark,movie,"Action, Adventure",1981,8.4,"AR, AU, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, US, VE"
Indiana Jones and the Temple of Doom,movie,"Action, Adventure",1984,7.5,"AR, AU, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, US, VE"
Dirty Dancing,movie,"Drama, Music, Romance",1987,7.1,IN
Indiana Jones and the Last Crusade,movie,"Action, Adventure",1989,8.2,"AR, AU, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, US, VE"
Beverly Hills Cop,movie,"Action, Comedy, Crime",1984,7.4,US
Beverly Hills Cop II,movie,"Action, Comedy, Crime",1987,6.6,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Gladiator,movie,"Action, Adventure, Drama",2000,8.5,"AU, CA, US"
All About My Mother,movie,"Comedy, Drama, Romance",1999,7.8,DE
"Lock, Stock and Two Smoking Barrels",movie,"Comedy, Crime",1998,8.1,"BR, CL, CO, IN, MX"
Léon: The Professional,movie,"Action, Crime, Drama",1994,8.5,DE
Taxi Driver,movie,"Crime, Drama",1976,8.2,US
Run Lola Run,movie,"Action, Crime, Thriller",1998,7.6,"DE, GB"
Back to the Future,movie,"Adventure, Comedy, Sci-Fi",1985,8.5,AU
Snatch,movie,"Comedy, Crime",2000,8.2,"AU, US"
Three Colors: Blue,movie,"Drama, Music, Mystery",1993,7.8,DE
Three Colors: White,movie,"Comedy, Drama, Romance",1994,7.6,DE
Three Colors: Red,movie,"Drama, Mystery, Romance",1994,8.1,DE
Scarface,movie,"Crime, Drama",1983,8.3,AU
Italian for Beginners,movie,"Comedy, Drama, Romance",2000,7.0,DE
The Big Lebowski,movie,"Comedy, Crime",1998,8.1,US
The Untouchables,movie,"Crime, Drama, Thriller",1987,7.8,"DE, US"
"O Brother, Where Art Thou?",movie,"Comedy, Crime, Drama",2000,7.7,DE
Groundhog Day,movie,"Comedy, Drama, Fantasy",1993,8.0,DE
Bad Education,movie,"Crime, Drama",2004,7.4,DE
Donnie Darko,movie,"Drama, Mystery, Sci-Fi",2001,8.0,"CA, DE, US"
Brokeback Mountain,movie,"Drama, Romance",2005,7.7,"AU, IT"
Wings of Desire,movie,"Drama, Fantasy, Romance",1987,7.9,GB
"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,7.9,"DE, GB"
The 400 Blows,movie,"Crime, Drama",1959,8.0,"DE, GB"
48 Hrs.,movie,"Action, Comedy, Crime",1982,6.9,"AT, CH, DE, FR, GB, IE, IT, US"
