Title,Type,Genres,Release Year,IMDB Average Rating,Available Countries
The Fifth Element,movie,"Action, Adventure, Sci-Fi",1997,7.6,"DK, FI, NO, SE"
Jarhead,movie,"Biography, Drama, War",2005,7.0,"HK, ID, MY, PH, SG, TH, TW"
Unforgiven,movie,"Drama, Western",1992,8.2,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004,8.3,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
A History of Violence,movie,"Action, Crime, Drama",2005,7.4,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
2001: A Space Odyssey,movie,"Adventure, Sci-Fi",1968,8.3,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NO, PA, PE, PT, PY, SE, SV, TC, TT, US, UY, VE"
Absolute Power,movie,"Action, Crime, Drama",1997,6.7,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Billy Elliot,movie,"Drama, Music",2000,7.7,"FR, MC"
American History X,movie,"Crime, Drama",1998,8.5,NL
Mars Attacks!,movie,"Comedy, Sci-Fi",1996,6.4,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Before Sunrise,movie,"Drama, Romance",1995,8.1,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Blade Runner,movie,"Action, Drama, Sci-Fi",1982,8.1,"AD, BA, BE, BG, CZ, DK, ES, FI, FR, HR, HU, MC, MD, ME, MK, NO, PL, PT, RO, RS, SE, SI, SK"
Before Sunset,movie,"Drama, Romance",2004,8.1,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Nausicaä of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984,8.0,US
Miami Vice,movie,"Action, Crime, Drama",2006,6.1,"AG, AR, BB, BE, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Gladiator,movie,"Action, Adventure, Drama",2000,8.5,"BA, BE, BG, CZ, FR, HK, HR, HU, ID, MC, MD, ME, MK, MY, PH, PL, RO, RS, SG, SI, SK, TH, TW"
Taxi Driver,movie,"Crime, Drama",1976,8.2,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
Back to the Future,movie,"Adventure, Comedy, Sci-Fi",1985,8.5,"BE, FR, MC"
Snatch,movie,"Comedy, Crime",2000,8.2,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Three Colors: Blue,movie,"Drama, Music, Mystery",1993,7.8,US
Three Colors: White,movie,"Comedy, Drama, Romance",1994,7.6,US
Three Colors: Red,movie,"Drama, Mystery, Romance",1994,8.1,US
Pretty Woman,movie,"Comedy, Romance",1990,7.1,"AD, DK, ES, FI, NO, PT, SE, US"
The Big Lebowski,movie,"Comedy, Crime",1998,8.1,"BE, FR, MC"
Charlie and the Chocolate Factory,movie,"Adventure, Comedy, Family",2005,6.7,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",2001,8.9,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
The Lord of the Rings: The Two Towers,movie,"Adventure, Drama, Fantasy",2002,8.8,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",2003,9.0,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
